"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballybay, Cavan/Monaghan Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballybofey, Donegal Division",49
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballybunion, Kerry Division",6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyconnell, Cavan/Monaghan Division",7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballycotton, Cork North Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballycroy, Mayo Division",8
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballycullane, Wexford Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballydehob, Cork West Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballydesmond, Cork West Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyduff,  Co. Kerry, Kerry Division",8
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyfermot, D.M.R. Western Division",91
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballygar, Galway Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyhale, Kilkenny/Carlow Division",1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyhaunis, Mayo Division",15
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyheigue, Kerry Division",8
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyjamesduff, Cavan/Monaghan Division",18
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballylanders, Limerick Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballylinan, Laois/Offaly Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballymacarberry, Waterford Division",6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballymahon, Roscommon/Longford Division",21
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballymore, Westmeath Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballymote, Sligo/Leitrim Division",12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballymun, D.M.R. Northern Division",127
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballynacargy, Westmeath Division",6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyneety, Limerick Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballynoe, Cork North Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyporeen, Tipperary Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyshannon, Donegal Division",12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyvaughan, Clare Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Baltimore, Cork West Division",0
