Station,Division,name,lon,lat,"03 ,Attempts/threats to murder, assaults, harassments and related offences","04 ,Dangerous or negligent acts","05 ,Kidnapping and related offences","06 ,Robbery, extortion and hijacking offences","07 ,Burglary and related offences","08 ,Theft and related offences","09 ,Fraud, deception and related offences","10 ,Controlled drug offences","11 ,Weapons and Explosives Offences","12 ,Damage to property and to the environment","13 ,Public order and other social code offences","15 ,Offences against government, justice procedures and organisation of crime"
Abbeyfeale, Limerick Division,Abbeyfeale,-9.290011999999999,52.387297,19,9,0,0,36,67,7,4,5,20,30,3
Abbeyleix, Laois/Offaly Division,Abbeyleix,-7.3437839999999985,52.912735,12,11,0,2,54,68,0,4,0,17,20,2
Adare, Limerick Division,Adare,-8.792065,52.563903,1,4,0,0,16,44,0,1,0,3,4,5
Aglish, Waterford Division,Aglish,-7.822039,52.07159,3,4,0,0,5,4,1,0,0,3,4,0
Ahascragh, Galway Division,Ahascragh,-8.330639999999999,53.395672,4,3,0,0,4,4,1,0,0,2,0,0
Ailt an Chorraiin, Donegal Division,Burtonport,-8.438638000000001,54.984922,5,2,0,0,0,3,0,0,0,5,2,0
An Bun Beag, Donegal Division,Bunbeg,-8.289455,55.065567,12,5,0,0,6,8,1,4,0,9,9,1
An Charraig, Donegal Division,Carrigart,-7.798482000000001,55.175128,2,1,0,0,2,7,0,0,0,6,1,1
An Cheathru Rua, Galway Division,Carraroe,-9.600493,53.264508,8,3,0,0,2,1,0,0,0,8,15,5
An Clochain Liath, Donegal Division,Dungloe,-8.361278,54.951565,23,7,0,0,2,19,2,0,0,9,15,2
An Coirean, Kerry Division,Waterville,-10.174173,51.831085,5,2,0,0,11,7,1,0,0,2,9,0
An Craoslach, Donegal Division,Creeslough,-7.912553999999999,55.12528100000001,2,1,0,0,2,5,0,0,0,7,2,1
An Fail Carrach, Donegal Division,Falcarragh,-8.102015,55.136977,7,9,0,0,2,3,1,1,0,12,22,0
An Maim, Galway Division,Maum,-9.564931,53.510728,3,4,0,0,5,11,1,3,6,3,2,0
An Rinn, Waterford Division,Ring,-7.593042999999999,52.048379,0,3,0,0,4,3,0,2,0,4,6,1
An Spideal, Galway Division,Spiddle,-9.305633,53.245432,3,4,0,1,1,10,4,0,0,6,5,1
Anglesea Street, Cork City Division,Anglesea Street,-8.465015,51.895775,205,32,1,29,78,1044,69,73,21,190,941,294
Annascaul, Kerry Division,Annascaul,-10.052538,52.152418,0,0,0,0,1,2,0,1,0,1,1,0
Aran More, Galway Division,Oranmore,-8.931893000000002,53.272075,30,44,0,2,60,117,22,27,5,42,45,5
Ard an Raitha, Donegal Division,Ardara,-8.409485,54.764529,3,1,0,0,2,5,0,1,0,2,8,0
Ardee, Louth Division,Ardee,-6.541139,53.854914,30,18,1,0,69,88,9,3,1,54,22,6
Ardfert, Kerry Division,Ardfert,-9.778885,52.323486,6,3,0,0,10,11,1,7,0,2,6,0
Ardfinnan, Tipperary Division,Ardfinnan,-7.878311,52.31183,3,5,0,0,7,11,1,4,0,7,0,0
Ardmore, Waterford Division,Ardmore,-7.728211,51.95102,6,0,0,0,5,15,0,3,1,3,4,0
Ardnacrusha, Limerick Division,Ardnacrusha,-8.613146,52.707692,13,11,0,2,30,89,7,4,1,48,36,4
Ardrahan, Galway Division,Ardrahan,-8.806455,53.15665,2,2,0,0,12,3,1,1,0,0,2,0
Arklow, Wicklow Division,Arklow,-6.154628,52.79628100000001,72,31,1,1,102,187,13,87,9,111,175,41
Arles, Laois/Offaly Division,Arles,-7.018923,52.890977,3,7,0,0,33,31,0,7,0,11,7,1
Arva, Cavan/Monaghan Division,Arvagh,-7.583728999999999,53.925376,6,5,0,0,4,7,1,0,2,6,15,1
Ashbourne, Meath Division,Ashbourne,-6.396999,53.511375,59,21,1,9,118,318,33,15,3,86,88,14
Ashford, Wicklow Division,Ashford,-6.108274,53.013445,16,11,0,4,47,60,4,31,3,20,21,7
Askeaton, Limerick Division,Askeaton,-8.978285000000003,52.600208,2,1,0,0,10,36,1,1,0,5,11,1
Athea, Limerick Division,Athea,-9.287469999999999,52.459923,3,1,0,0,10,13,0,0,0,4,0,0
Athenry, Galway Division,Athenry,-8.749687,53.29975,20,19,0,1,22,27,14,3,0,19,20,2
Athleague, Roscommon/Longford Division,Athleague,-8.252367,53.568697,1,2,0,1,2,4,0,0,0,0,5,0
Athlone, Westmeath Division,Athlone,-7.944738,53.423248,109,38,0,12,276,475,33,76,26,210,196,39
Athy, Kildare Division,Athy,-6.988236,52.99020600000001,67,16,2,8,201,201,11,24,7,120,78,31
Aughrim, Wicklow Division,Aughrim,-6.32684,52.85603100000001,9,2,0,1,12,8,1,3,0,1,1,1
Avoca, Wicklow Division,Avoca,-6.212905,52.858789,2,1,0,0,15,24,0,2,0,10,6,0
Baile Bhuirne, Cork West Division,Ballyvourney,-9.169196,51.945772,0,0,0,0,9,7,1,2,0,1,2,0
Baile an Fheirt̩araigh, Kerry Division,Ballyferiter,-10.406194,52.165926,0,1,0,0,2,3,0,1,0,3,1,0
Bailieboro, Cavan/Monaghan Division,Bailieboro,-6.96963,53.915212,29,9,0,1,9,34,4,8,2,29,59,1
Balbriggan, D.M.R. Northern Division,Balbriggan,-6.191172,53.61433,97,53,3,7,140,542,114,55,10,203,78,39
Balla, Mayo Division,Balla,-9.129878999999999,53.801869,6,3,0,1,3,15,1,0,0,2,10,1
Ballaghderreen, Roscommon/Longford Division,Ballaghaderreen,-8.584588,53.89993199999999,22,4,0,0,48,40,18,7,4,29,56,7
Ballina, Mayo Division,Ballina,-9.160445,54.11285400000001,62,20,0,7,40,148,20,35,5,109,165,13
Ballinagh, Cavan/Monaghan Division,Ballinagh,-7.409629,53.93111,14,6,0,0,8,23,2,1,1,8,12,1
Ballinamore, Sligo/Leitrim Division,Ballinamore,-7.796969,54.054599,10,2,0,0,7,17,2,0,0,5,14,0
Ballinasloe, Galway Division,Ballinasloe,-8.223624000000001,53.32843100000001,65,22,0,4,32,186,25,30,9,80,184,26
Ballincollig, Cork City Division,Ballincollig,-8.590321000000001,51.888237,45,30,0,6,30,163,21,61,9,87,87,9
Ballindine, Mayo Division,Ballindine,-8.957725,53.669647,0,2,0,0,5,4,0,0,0,5,2,0
Ballineen, Cork West Division,Ballineen,-8.948867,51.73592,0,6,0,0,6,17,0,6,0,5,3,0
Ballingarry North, Tipperary Division,Ballingarry North,-8.030464,53.018366,0,1,0,1,4,5,0,0,0,3,0,0
Ballingarry South, Tipperary Division,Ballingarry South,-7.541163,52.586041,0,4,0,0,7,10,1,4,0,5,1,0
Ballingarry, Limerick Division,Ballingarry,-8.862845,52.47213000000001,4,0,0,0,20,21,0,0,0,8,2,4
Ballinhassig, Cork West Division,Ballinhassig,-8.570545,51.804093,5,4,0,0,5,27,3,7,2,5,3,1
Ballinlough, Roscommon/Longford Division,Ballinlough,-8.635822000000001,53.740774,6,3,0,0,3,6,3,1,0,8,3,0
Ballinrobe, Mayo Division,Ballinrobe,-9.226214,53.624611,12,11,3,2,15,42,3,0,0,19,17,1
Ballintra, Donegal Division,Ballintra,-8.125418,54.577798,2,5,0,0,4,12,0,1,1,3,4,0
Ballivor, Meath Division,Ballivor,-6.967157,53.53270300000001,6,0,0,0,11,14,0,4,0,8,13,3
Ballon, Kilkenny/Carlow Division,Ballon,-6.772182000000001,52.743226,1,2,0,1,28,11,2,0,0,1,1,0
Ballybay, Cavan/Monaghan Division,Ballybay,-6.904803,54.128944,3,3,0,0,6,18,3,0,2,9,19,3
Ballybofey, Donegal Division,Ballybofey,-7.779638,54.800024,49,30,0,1,25,66,12,9,3,39,95,5
Ballybunion, Kerry Division,Ballybunnion,-9.670238000000001,52.51125699999999,6,7,0,0,11,10,0,11,2,18,65,0
Ballyconnell, Cavan/Monaghan Division,Ballyconnell,-7.580203999999998,54.118998,7,8,0,0,9,30,1,2,1,6,11,1
Ballycotton, Cork North Division,Ballycotton,-8.013091000000001,51.830332,2,1,0,0,5,5,0,3,0,2,0,0
Ballycroy, Mayo Division,Ballycroy,-9.825856,54.025764,8,0,0,0,2,0,1,0,0,2,0,0
Ballycullane, Wexford Division,Ballycullane,-6.839211,52.278869,5,3,0,0,6,4,1,5,0,13,1,1
Ballydehob, Cork West Division,Ballydehob,-9.460782,51.559116,5,4,0,0,4,7,0,8,0,3,2,0
